FIPS County Code,medinc_23p2,medinc_23p3,medinc_23p4
001,59600,67000,74400
003,72400,81500,90500
005,52200,58700,65200
007,71900,80900,89800
009,71900,80900,89800
011,52200,58700,65200
013,52200,58700,65200
015,58300,65600,72800
017,52200,58700,65200
019,52200,58700,65200
021,53600,60300,66900
023,52200,58700,65200
025,52200,58700,65200
027,52200,58700,65200
029,52900,59500,66100
031,63600,71600,79500
033,57800,65000,72200
035,52200,58700,65200
037,52200,58700,65200
039,53600,60300,66900
041,54400,61200,68000
043,54300,61100,67800
045,54000,60800,67500
047,52200,58700,65200
049,52200,58700,65200
051,59600,67000,74400
053,52200,58700,65200
055,52600,59200,65700
057,52200,58700,65200
059,52200,58700,65200
061,54400,61200,68000
063,52200,58700,65200
065,65700,73900,82100
067,57200,64300,71400
069,54400,61200,68000
071,52200,58700,65200
073,71900,80900,89800
075,52200,58700,65200
077,57800,65000,72200
079,59800,67300,74700
081,67200,75600,83900
083,78500,88300,98100
085,59600,67000,74400
087,52200,58700,65200
089,78500,88300,98100
091,52400,59000,65500
093,52200,58700,65200
095,53700,60400,67100
097,55300,62200,69100
099,52200,58700,65200
101,59600,67000,74400
103,59800,67300,74700
105,52200,58700,65200
107,52200,58700,65200
109,52200,58700,65200
111,52200,58700,65200
113,57200,64400,71500
115,71900,80900,89800
117,71900,80900,89800
119,52200,58700,65200
121,52200,58700,65200
123,53600,60300,66900
125,65700,73900,82100
127,54100,60900,67600
129,52200,58700,65200
131,52200,58700,65200
133,52200,58700,65200
013,75200,84600,94000
016,90000,101200,112400
020,97900,110100,122300
050,83900,94400,104800
060,83100,93500,103800
063,89500,100700,111800
066,83800,94300,104700
068,99600,112100,124500
070,75200,84600,94000
090,78900,88800,98600
100,77900,87600,97300
105,75200,84600,94000
110,97800,110000,122200
122,83400,93800,104200
130,84600,95200,105700
150,87600,98500,109400
158,75200,84600,94000
164,75200,84600,94000
170,80400,90400,100400
180,75200,84600,94000
185,79600,89500,99400
188,77900,87600,97300
195,76100,85600,95100
198,75200,84600,94000
220,86600,97400,108200
230,78400,88200,97900
240,75200,84600,94000
275,75200,84600,94000
282,75200,84600,94000
290,75200,84600,94000
001,46900,52800,58600
003,54700,61500,68300
005,72800,81900,90900
007,51000,57400,63700
009,56000,63000,70000
011,60800,68400,75900
012,49700,55900,62100
013,74800,84200,93500
015,52600,59200,65700
017,46900,52800,58600
019,65000,73100,81200
021,74800,84200,93500
023,46900,52800,58600
025,60400,68000,75500
027,48400,54500,60500
001,51500,57900,64300
003,50800,57100,63400
005,50800,57100,63400
007,70900,79800,88600
009,51000,57400,63700
011,50800,57100,63400
013,52200,58700,65200
015,53300,60000,66600
017,50800,57100,63400
019,55300,62200,69100
021,50800,57100,63400
023,51200,57600,64000
025,51000,57400,63700
027,50800,57100,63400
029,51600,58100,64500
031,55900,62900,69800
033,51400,57800,64200
035,64800,72900,81000
037,53900,60600,67300
039,51000,57400,63700
041,50800,57100,63400
043,53600,60300,66900
045,66400,74700,83000
047,51000,57400,63700
049,50800,57100,63400
051,51200,57600,64000
053,60700,68300,75800
055,52200,58700,65200
057,51000,57400,63700
059,51000,57400,63700
061,50800,57100,63400
063,51300,57700,64100
065,50800,57100,63400
067,50800,57100,63400
069,51000,57400,63700
071,50800,57100,63400
073,50800,57100,63400
075,50800,57100,63400
077,50800,57100,63400
079,51000,57400,63700
081,54200,61000,67700
083,50800,57100,63400
085,66400,74700,83000
087,70900,79800,88600
089,50800,57100,63400
091,57700,64900,72100
093,50800,57100,63400
095,51000,57400,63700
097,50800,57100,63400
099,50800,57100,63400
101,51000,57400,63700
103,50800,57100,63400
105,66400,74700,83000
107,50800,57100,63400
109,51000,57400,63700
111,50800,57100,63400
113,50800,57100,63400
115,51200,57600,64000
117,51200,57600,64000
119,66400,74700,83000
121,50800,57100,63400
123,50800,57100,63400
125,66400,74700,83000
127,50800,57100,63400
129,50800,57100,63400
131,51400,57800,64200
133,51900,58400,64800
135,50800,57100,63400
137,50800,57100,63400
139,52800,59400,66000
141,50800,57100,63400
143,70900,79800,88600
145,51600,58100,64500
147,51000,57400,63700
149,51000,57400,63700
001,118400,133200,147900
003,76900,86500,96100
005,73400,82600,91700
007,66000,74300,82500
009,76300,85800,95300
011,66000,74300,82500
013,118400,133200,147900
015,66000,74300,82500
017,85800,96500,107200
019,66000,74300,82500
021,66000,74300,82500
023,66000,74300,82500
025,66000,74300,82500
027,68400,76900,85400
029,66000,74300,82500
031,66000,74300,82500
033,66000,74300,82500
035,67100,75500,83800
037,100900,113500,126100
039,66000,74300,82500
041,148700,167300,185800
043,66000,74300,82500
045,68000,76500,85000
047,66000,74300,82500
049,66000,74300,82500
051,68000,76500,85000
053,96400,108400,120400
055,106800,120200,133500
057,83400,93800,104200
059,114800,129200,143500
061,85800,96500,107200
063,67100,75500,83800
065,74600,83900,93200
067,85800,96500,107200
069,89100,100200,111300
071,74600,83900,93200
073,110300,124100,137800
075,148700,167300,185800
077,70200,79000,87700
079,92700,104300,115800
081,148700,167300,185800
083,118400,133200,147900
085,142800,160600,178400
087,131800,148300,164700
089,67200,75600,84000
091,68400,77000,85500
093,66000,74300,82500
095,91600,103000,114400
097,100700,113300,125800
099,67600,76000,84400
101,66000,74300,82500
103,66000,74300,82500
105,66000,74300,82500
107,66000,74300,82500
109,70500,79300,88100
111,106300,119600,132800
113,84000,94500,104900
115,66000,74300,82500
001,99300,111700,124100
003,69600,78300,87000
005,99300,111700,124100
007,69600,78300,87000
009,69600,78300,87000
011,69600,78300,87000
013,106300,119600,132800
014,99300,111700,124100
015,69600,78300,87000
017,72400,81400,90400
019,99300,111700,124100
021,69600,78300,87000
023,69600,78300,87000
025,69600,78300,87000
027,69600,78300,87000
029,69600,78300,87000
031,99300,111700,124100
033,69600,78300,87000
035,99300,111700,124100
037,94700,106500,118300
039,99300,111700,124100
041,78000,87800,97500
043,69600,78300,87000
045,79400,89300,99200
047,99300,111700,124100
049,74700,84000,93300
051,75000,84400,93700
053,69600,78300,87000
055,69600,78300,87000
057,69600,78300,87000
059,99300,111700,124100
061,69600,78300,87000
063,69600,78300,87000
065,69600,78300,87000
067,83200,93600,103900
069,90900,102300,113600
071,69600,78300,87000
073,69600,78300,87000
075,69600,78300,87000
077,69600,78300,87000
079,69600,78300,87000
081,69600,78300,87000
083,69600,78300,87000
085,69600,78300,87000
087,69600,78300,87000
089,69600,78300,87000
091,74500,83800,93100
093,99300,111700,124100
095,69600,78300,87000
097,91500,102900,114300
099,69600,78300,87000
101,69600,78300,87000
103,71400,80300,89200
105,69600,78300,87000
107,86700,97500,108300
109,69600,78300,87000
111,69600,78300,87000
113,79800,89800,99700
115,69600,78300,87000
117,88700,99800,110800
119,74900,84300,93600
121,69600,78300,87000
123,83900,94400,104800
125,69600,78300,87000
001,109800,123500,137200
001,94000,105700,117400
001,109800,123500,137200
001,109800,123500,137200
001,137100,154200,171300
001,94000,105700,117400
001,94000,105700,117400
001,137100,154200,171300
001,94000,105700,117400
001,137100,154200,171300
001,109800,123500,137200
001,109800,123500,137200
001,137100,154200,171300
001,109800,123500,137200
001,109800,123500,137200
001,94000,105700,117400
001,109800,123500,137200
001,137100,154200,171300
001,94000,105700,117400
001,94000,105700,117400
001,137100,154200,171300
001,137100,154200,171300
001,137100,154200,171300
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
003,94500,106300,118100
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
005,91800,103300,114700
007,94500,106300,118100
007,105800,119000,132200
007,94500,106300,118100
007,105800,119000,132200
007,94500,106300,118100
007,94500,106300,118100
007,94500,106300,118100
007,105800,119000,132200
007,94500,106300,118100
007,105800,119000,132200
007,94500,106300,118100
007,94500,106300,118100
007,105800,119000,132200
007,94500,106300,118100
007,105800,119000,132200
009,96300,108300,120300
009,96300,108300,120300
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,96300,108300,120300
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,96300,108300,120300
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,96300,108300,120300
009,91800,103300,114700
009,96300,108300,120300
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
009,91800,103300,114700
011,91800,103300,114700
011,108900,122500,136100
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,108900,122500,136100
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
011,91800,103300,114700
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
013,94500,106300,118100
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
015,91800,103300,114700
001,65400,73600,81700
003,89300,100500,111600
005,71200,80100,88900
001,120600,135700,150700
001,69400,78100,86700
003,68800,77400,86000
005,63000,70900,78700
007,51400,57800,64200
009,68800,77400,86000
011,76800,86400,96000
013,52400,59000,65500
015,61400,69100,76700
017,52400,59000,65500
019,70800,79700,88500
021,79900,89900,99800
023,55500,62400,69300
027,51400,57800,64200
029,51400,57800,64200
031,70800,79700,88500
033,65500,73700,81800
035,63200,71100,79000
037,52400,58900,65400
039,68800,77400,86000
041,69400,78100,86700
043,51400,57800,64200
045,52200,58700,65200
047,51400,57800,64200
049,51400,57800,64200
051,51400,57800,64200
053,69600,78300,86900
055,52400,59000,65500
057,69600,78300,86900
059,51400,57800,64200
061,63400,71300,79200
063,51400,57800,64200
065,68800,77400,86000
067,54000,60800,67500
069,70300,79100,87800
071,68100,76600,85100
073,68800,77400,86000
075,51400,57800,64200
077,51400,57800,64200
079,51400,57800,64200
081,73200,82300,91400
083,52700,59300,65800
085,67800,76300,84700
086,82600,92900,103200
087,86800,97700,108500
089,70800,79700,88500
091,74500,83800,93100
093,51400,57800,64200
095,70300,79100,87800
097,70300,79100,87800
099,78000,87700,97400
101,69600,78300,86900
103,69600,78300,86900
105,57200,64300,71400
107,51400,57800,64200
109,70800,79700,88500
111,67800,76300,84700
113,65500,73700,81800
115,73200,82300,91400
117,70300,79100,87800
119,63800,71800,79700
121,51400,57800,64200
123,51400,57800,64200
125,51400,57800,64200
127,62000,69700,77400
129,66800,75100,83400
131,66000,74200,82400
133,51400,57800,64200
001,52000,58500,65000
003,52000,58500,65000
005,52000,58500,65000
007,52800,59400,65900
009,53600,60300,67000
011,53600,60300,67000
013,81700,91900,102100
015,81700,91900,102100
017,52000,58500,65000
019,52000,58500,65000
021,53700,60400,67100
023,52800,59400,66000
025,56400,63400,70400
027,54300,61100,67800
029,70700,79500,88300
031,52700,59300,65800
033,62400,70200,78000
035,52000,58500,65000
037,52000,58500,65000
039,59100,66500,73800
043,52000,58500,65000
045,81700,91900,102100
047,63700,71700,79600
049,52000,58500,65000
051,70700,79500,88300
053,57200,64400,71500
055,52000,58500,65000
057,81700,91900,102100
059,65200,73300,81400
061,52000,58500,65000
063,81700,91900,102100
065,52000,58500,65000
067,81700,91900,102100
069,52000,58500,65000
071,52000,58500,65000
073,62400,70200,78000
075,52000,58500,65000
077,81700,91900,102100
079,53700,60400,67100
081,52000,58500,65000
083,63700,71700,79600
085,81700,91900,102100
087,52000,58500,65000
089,81700,91900,102100
091,52000,58500,65000
093,52000,58500,65000
095,52800,59400,65900
097,81700,91900,102100
099,52000,58500,65000
101,54300,61100,67800
103,70700,79500,88300
105,52000,58500,65000
107,52000,58500,65000
109,52000,58500,65000
111,55300,62200,69100
113,81700,91900,102100
115,52800,59400,66000
117,81700,91900,102100
