ELSI Export,,,,,,,,,,,
,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,
,,,,,,,,,,,
This is a Public School based table with the following filters applied: State(s) (All Years): OHIO,,,,,,,,,,,
,,,,,,,,,,,
School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2018-19,County Name [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
A J JORDAK ELEMENTARY SCHOOL,Ohio,Cardinal Local,Geauga County,44062,Middlefield,300,106,27,133,19,15.79
A+ ARTS ACADEMY,Ohio,A+ Arts Academy,Franklin County,43205,Columbus,701,279,7,286,6,116.83
A+ CHILDREN'S ACADEMY,Ohio,A+ Children's Academy,Franklin County,43207,Columbus,130,122,3,125,10,13
A. I. ROOT MIDDLE SCHOOL,Ohio,Medina City SD,Medina County,44256,Medina,842,122,19,141,40.81,20.63
ABRAHAM LINCOLN SCHOOL,Ohio,Maple Heights City,Cuyahoga County,44137,Maple Heights,557,–,–,–,25,22.28
ACADEMY FOR MULTILINGUAL IMMERSION STUDIES,Ohio,Cincinnati Public Schools,Hamilton County,45237,Cincinnati,491,–,–,–,33.5,14.66
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,Academy for Urban Scholars Youngstown,Mahoning County,44507,Youngstown,207,–,–,–,4,51.75
ACADEMY OF WORLD LANGUAGES SCHOOL,Ohio,Cincinnati Public Schools,Hamilton County,45207,Cincinnati,507,–,–,–,39,13
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,Achieve Career Preparatory Academy,Lucas County,43612,Toledo,158,–,–,–,11,14.36
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,AchievePoint Career Academy - Cincinnati,Hamilton County,45238,Cincinnati,72,50,3,53,3,24
ACHIEVEPOINT CAREER ACADEMY - COLUMBUS,OHIO,AchievePoint Career Academy - Columbus,Franklin County,43219,Columbus,59,37,3,40,5,11.8
ADA ELEMENTARY SCHOOL,Ohio,Ada Exempted Village,Hardin County,45810,Ada,464,–,–,–,26,17.85
ADA HIGH SCHOOL,Ohio,Ada Exempted Village,Hardin County,45810,Ada,401,196,67,263,24,16.71
ADAMSVILLE ELEMENTARY SCHOOL,Ohio,Tri-Valley Local,Muskingum County,43802,Adamsville,258,132,23,155,15.1,17.09
