2022 PI Ranking,LEA Name,2022 PI Proxy Descriptor,2022 PI for Ranking,2022 Achievement Rating,ODE Designated County,LEA IRN,LEA Org Type,LEA Status as of 9/13/22,2022 Grade Span,Additional Comments
479,Adams County Ohio Valley Local,REAL PI,78.647,3 Star,Adams,061903,Public District,Open,K-12,
504,Manchester Local,REAL PI,77.441,3 Star,Adams,000442,Public District,Open,K-12,
83,Bluffton Exempted Village,REAL PI,97.607,5 Star,Allen,045211,Public District,Open,K-12,
110,Shawnee Local,REAL PI,95.437,4 Star,Allen,045799,Public District,Open,K-12,
122,Bath Local,REAL PI,94.632,4 Star,Allen,045765,Public District,Open,K-12,
124,Delphos City,REAL PI,94.419,4 Star,Allen,043885,Public District,Open,K-12,
142,Spencerville Local,REAL PI,93.673,4 Star,Allen,045807,Public District,Open,K-12,
229,Allen East Local,REAL PI,89.473,4 Star,Allen,045757,Public District,Open,K-12,
249,Elida Local,REAL PI,88.461,4 Star,Allen,045773,Public District,Open,K-12,
535,Perry Local,REAL PI,75.477,3 Star,Allen,045781,Public District,Open,K-12,
590,Heir Force Community School,REAL PI,69.882,2 Star,Allen,000613,Community School,Open,K-8,
683,Lima City,REAL PI,60.073,2 Star,Allen,044222,Public District,Open,K-12,
170,Ashland City,REAL PI,92.018,4 Star,Ashland,043505,Public District,Open,K-12,
257,Hillsdale Local,REAL PI,88.237,4 Star,Ashland,045823,Public District,Open,K-12,
368,Loudonville-Perrysville Exempted Village,REAL PI,83.575,3 Star,Ashland,045468,Public District,Open,K-12,
445,Mapleton Local,REAL PI,80.108,3 Star,Ashland,045831,Public District,Open,K-12,
409,Geneva Area City,REAL PI,81.774,3 Star,Ashtabula,044057,Public District,Open,K-12,
444,Jefferson Area Local,REAL PI,80.192,3 Star,Ashtabula,045872,Public District,Open,K-12,
469,Pymatuning Valley Local,REAL PI,79.096,3 Star,Ashtabula,045880,Public District,Open,K-12,
484,Grand Valley Local,REAL PI,78.426,3 Star,Ashtabula,045864,Public District,Open,K-12,
494,Buckeye Local,REAL PI,77.935,3 Star,Ashtabula,045856,Public District,Open,K-12,
553,Conneaut Area City,REAL PI,73.955,2 Star,Ashtabula,043810,Public District,Open,K-12,
646,Ashtabula Area City,REAL PI,64.165,2 Star,Ashtabula,043513,Public District,Open,K-12,
381,Alexander Local,REAL PI,82.916,3 Star,Athens,045906,Public District,Open,K-12,
404,Athens City,REAL PI,81.909,3 Star,Athens,043521,Public District,Open,K-12,
583,Federal Hocking Local,REAL PI,70.77,2 Star,Athens,045914,Public District,Open,K-12,
618,Nelsonville-York City,REAL PI,66.91,2 Star,Athens,044446,Public District,Open,K-12,
647,Trimble Local,REAL PI,64.119,2 Star,Athens,045922,Public District,Open,K-12,
6,Minster Local,REAL PI,107.229,5 Star,Auglaize,045948,Public District,Open,K-12,
15,New Bremen Local,REAL PI,105.257,5 Star,Auglaize,045955,Public District,Open,K-12,
49,New Knoxville Local,REAL PI,100.477,5 Star,Auglaize,045963,Public District,Open,K-12,
264,Wapakoneta City,REAL PI,87.913,4 Star,Auglaize,044982,Public District,Open,K-12,
310,St Marys City,REAL PI,85.8,4 Star,Auglaize,044727,Public District,Open,K-12,
325,Waynesfield-Goshen Local,REAL PI,85.196,3 Star,Auglaize,045971,Public District,Open,K-12,
171,St Clairsville-Richland City,REAL PI,91.987,4 Star,Belmont,045997,Public District,Open,K-12,
300,Shadyside Local,REAL PI,86.116,4 Star,Belmont,046003,Public District,Open,K-12,
331,Bellaire Local,REAL PI,84.841,3 Star,Belmont,043570,Public District,Open,K-12,
413,Bridgeport Exempted Village,REAL PI,81.562,3 Star,Belmont,045237,Public District,Open,K-12,
435,Barnesville Exempted Village,REAL PI,80.57,3 Star,Belmont,045203,Public District,Open,K-12,
520,Martins Ferry City,REAL PI,76.098,3 Star,Belmont,044347,Public District,Open,K-12,
536,Union Local,REAL PI,75.359,3 Star,Belmont,046011,Public District,Open,K-12,
303,Georgetown Exempted Village,REAL PI,86.074,4 Star,Brown,045377,Public District,Open,K-12,
330,Eastern Local School District,REAL PI,84.886,3 Star,Brown,046037,Public District,Open,K-12,
353,Fayetteville-Perry Local,REAL PI,84.123,3 Star,Brown,046045,Public District,Open,K-12,
420,Western Brown Local,REAL PI,81.252,3 Star,Brown,046060,Public District,Open,K-12,
532,Ripley-Union-Lewis-Huntington Local,REAL PI,75.599,3 Star,Brown,046078,Public District,Open,K-12,
96,Ross Local,REAL PI,96.266,4 Star,Butler,046144,Public District,Open,K-12,
139,Monroe Local,REAL PI,93.785,4 Star,Butler,139303,Public District,Open,K-12,
180,Lakota Local,REAL PI,91.331,4 Star,Butler,046110,Public District,Open,K-12,
298,Talawanda City,REAL PI,86.191,4 Star,Butler,046151,Public District,Open,K-12,
323,Madison Local,REAL PI,85.238,3 Star,Butler,046128,Public District,Open,K-12,
394,Fairfield City,REAL PI,82.304,3 Star,Butler,046102,Public District,Open,K-12,
470,Edgewood City,REAL PI,79.072,3 Star,Butler,046094,Public District,Open,K-12,
531,Hamilton City,REAL PI,75.633,3 Star,Butler,044107,Public District,Open,K-12,
601,New Miami Local,REAL PI,68.739,2 Star,Butler,046136,Public District,Open,K-12,
645,Middletown Preparatory & Fitness Academy,REAL PI,64.211,2 Star,Butler,143214,Community School,Open,K-8,
691,Middletown City,REAL PI,59.314,2 Star,Butler,044404,Public District,Open,K-12,
692,Richard Allen Academy,REAL PI,59.147,2 Star,Butler,133736,Community School,Open,K-6,
698,Summit Academy Secondary School - Middletown,REAL PI,58.74,2 Star,Butler,000634,Community School,Open,7-12,
756,Summit Acdy Comm Schl for Alternative Learners of Middletown,REAL PI,52.909,1 Star,Butler,132746,Community School,Open,K-6,
372,Carrollton Exempted Village,REAL PI,83.451,3 Star,Carroll,045278,Public District,Open,K-12,
480,Brown Local,REAL PI,78.622,3 Star,Carroll,046177,Public District,Open,K-12,
116,West Liberty-Salem Local,REAL PI,94.929,4 Star,Champaign,046219,Public District,Open,K-12,
146,Mechanicsburg Exempted Village,REAL PI,93.54,4 Star,Champaign,045484,Public District,Open,K-12,
205,Triad Local,REAL PI,90.316,4 Star,Champaign,046201,Public District,Open,K-12,
460,Graham Local,REAL PI,79.574,3 Star,Champaign,046193,Public District,Open,K-12,
533,Urbana City,REAL PI,75.545,3 Star,Champaign,044941,Public District,Open,K-12,
295,Southeastern Local,REAL PI,86.554,4 Star,Clark,046276,Public District,Open,K-12,
336,Northeastern Local,REAL PI,84.651,3 Star,Clark,046250,Public District,Open,K-12,
344,Northwestern Local,REAL PI,84.407,3 Star,Clark,046268,Public District,Open,K-12,
