,PUMA,Predicted_ISRISKFACTOR
0,Defiance,0.9811564674873177
1,Wood,2.791699149868212
2,Lucas,2.159533277334752
3,Lucas,4.865962835303437
4,Lucas,4.635588381078273
5,Ottawa,0.7659355920203987
6,Erie,2.3674427284137356
7,Lorain,5.094384345632939
8,Lorain,2.641105259715346
9,Cuyahoga,1.6456825362826761
10,Cuyahoga,2.096231137874282
11,Cuyahoga,0.8650347608081325
12,Cuyahoga,1.2889242537657557
13,Cuyahoga,5.126086051237806
14,Cuyahoga,6.778282924707914
15,Cuyahoga,4.897835221614172
16,Cuyahoga,7.357038535460629
17,Cuyahoga,6.403741346295476
18,Cuyahoga,1.392835395196836
19,Lake,0.9150569435679106
20,Lake,1.3655013435023353
21,Geauga,0.0
22,Ashtabula,2.3301634066098202
23,Trumbull,1.0550584769216083
24,Mahoning,4.623751716969224
25,Trumbull,3.7165288028969923
26,Portage,4.943327234183316
27,Summit,0.8137662414307893
28,Summit,1.613951071017559
29,Summit,6.282110812697231
30,Summit,6.425013484623161
31,Summit,1.922236866708525
32,Medina,1.0793703827449193
33,Wayne,1.5554641440625496
34,Huron,1.3297417922702994
35,Richland,4.079081870529631
36,Seneca,2.1358387099852743
37,Hancock,1.3505589844366583
38,Allen,3.216794780851777
39,Auglaize,0.3662333751492699
40,Logan,2.0521869666100114
41,Marion,3.4674219886321556
42,Holmes,1.5992769611428193
43,Tuscarawas,0.5370404243751103
44,Stark,0.9783143285090037
45,Stark,4.655322581680068
46,Stark,1.7388696823970906
47,Columbiana,2.7090184643706934
48,Belmont,2.3871318898604783
49,Washington,1.7082252113331196
50,Muskingum,3.7308028394263255
51,Licking,2.581171413309325
52,Fairfield,2.3694803124501806
53,Delaware,1.5248576686125943
54,Franklin,3.8374792168754737
55,Franklin,2.5406968987990095
56,Franklin,3.447667627734466
57,Franklin,2.6366318291891333
58,Franklin,9.956786563377575
59,Franklin,3.1954665349252713
60,Franklin,6.786505415098513
61,Franklin,5.117070791535887
62,Franklin,2.620573360633497
63,Franklin,5.696314741691226
64,Franklin,2.590227093368833
65,Pickaway,3.8230778845235114
66,Clark,2.477779713202684
67,Miami,0.24554593434061864
68,Darke,0.6496389733808721
69,Montgomery,2.173166957209776
70,Montgomery,2.12244149086364
71,Montgomery,5.16802752554787
72,Montgomery,3.097160588568949
73,Greene,3.7585615284013545
74,Ross,4.470684121536108
75,Jackson,2.646704868555851
76,Athens,4.1655008623917
77,Scioto,4.141870864301816
78,Highland,2.2251519133414432
79,Warren,0.8664480898066579
80,Warren,3.5601982893698128
81,Butler,0.1742516163445687
82,Butler,4.571354162422347
83,Butler,4.680233539667905
84,Hamilton,1.1187867421975828
85,Hamilton,2.114731601130965
86,Hamilton,8.50117418540513
87,Hamilton,9.999999999999998
88,Hamilton,3.342532230674331
89,Hamilton,1.9969805579409785
90,Hamilton,0.33593295370776005
91,Clermont,0.8211345439238711
92,Clermont,2.050954435647155
