"City","Population","Violent Crime","Murder and nonnegligent manslaughter","Rape1","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motorvehicle theft","Arson",
Ada,"5,509",3,0,2,1,0,24,6,17,1,0,
Akron,"197,882","1,782",27,181,328,"1,246","6,568","1,686","4,305",577,65,
Alliance,"21,536",28,0,4,1,23,558,61,474,23,10,
Amberley Village,"3,791",2,0,0,0,2,35,3,29,3,0,
American Township,"12,050",0,0,0,0,0,97,5,88,4,0,
Amherst,"12,166",4,0,0,3,1,147,20,123,4,1,
Arcanum,"2,006",0,0,0,0,0,9,0,9,0,0,
Archbold,"4,320",5,0,1,1,3,80,6,68,6,0,
Ashland,"20,410",33,1,18,2,12,384,50,331,3,1,
Ashville,"4,331",4,0,2,0,2,53,1,39,13,0,
Athens,"24,745",16,0,0,5,11,398,30,349,19,3,
Aurora,"16,319",1,0,0,0,1,128,5,120,3,1,
Bainbridge Township,"11,493",4,0,2,1,1,241,34,203,4,0,
Barberton,"26,015",69,2,15,10,42,689,111,546,32,4,
Barnesville,"4,020",1,0,1,0,0,12,2,8,2,0,
Batavia,"1,680",3,0,0,0,3,35,8,25,2,0,
"Bath Township, Summit County","9,659",5,0,1,1,3,145,13,130,2,0,
Bay Village,"15,235",4,1,0,0,3,72,11,56,5,0,
Bazetta Township,"5,530",7,0,1,0,6,210,4,204,2,0,
Beachwood,"11,612",7,0,2,1,4,438,16,413,9,0,
Beavercreek,"47,672",33,0,11,10,12,"1,193",78,"1,088",27,4,
Beaver Township,"6,415",3,0,2,0,1,74,21,51,2,0,
Bedford,"12,485",19,0,1,8,10,157,22,103,32,0,
Bellaire,"4,039",12,0,4,0,8,30,4,25,1,1,
Bellbrook,"7,326",0,0,0,0,0,36,3,33,0,0,
Bellefontaine,"13,145",25,0,6,0,19,202,32,167,3,0,
Bellville,"1,895",1,0,0,1,0,15,0,14,1,0,
Belpre,"6,386",4,0,0,0,4,105,21,70,14,0,
Berea,"18,573",9,0,0,3,6,79,16,59,4,1,
Bethel,"2,809",8,0,1,0,7,77,14,60,3,1,
Bexley,"13,956",12,0,4,3,5,300,63,229,8,0,
Blanchester,"4,251",3,0,1,0,2,99,20,78,1,0,
Blue Ash,"12,307",14,0,3,2,9,204,17,179,8,0,
Bowling Green,"31,719",37,0,18,4,15,547,42,489,16,0,
Brewster,"2,158",2,0,1,0,1,23,6,17,0,1,
Bridgeport,"1,741",1,0,1,0,0,10,1,7,2,0,
Brimfield Township,"10,388",7,1,1,2,3,204,16,185,3,0,
Brunswick,"34,977",17,0,2,1,14,189,20,157,12,2,
Bucyrus,"11,712",25,0,6,3,16,287,49,230,8,1,
Burton2,"1,454",,0,,0,1,2,0,2,0,0,
Butler Township,"7,819",23,0,9,5,9,386,30,345,11,2,
Cambridge2,"10,318",,0,,3,6,349,36,302,11,0,
Campbell,"7,815",9,0,1,2,6,53,25,21,7,0,
Canal Fulton,"5,450",7,0,0,2,5,52,10,40,2,0,
Canfield,"7,199",0,0,0,0,0,47,3,43,1,0,
Canton,"70,139",981,6,135,188,652,"3,712",962,"2,429",321,24,
Cardington,"2,056",2,0,0,0,2,15,5,9,1,0,
Carroll Township,"2,096",1,0,0,0,1,15,2,11,2,0,
Centerville,"23,744",15,0,5,1,9,285,37,242,6,0,
Chagrin Falls,"3,941",1,0,0,1,0,41,16,25,0,0,
Chardon,"5,183",9,0,0,1,8,94,3,91,0,0,
Chester Township,"10,322",0,0,0,0,0,15,2,12,1,0,
Cheviot,"8,269",23,0,5,7,11,221,55,143,23,0,
Chillicothe,"21,670",103,0,23,17,63,"1,575",183,"1,337",55,5,
Cincinnati3,"303,335","2,562",64,280,872,"1,346","13,051","2,765","8,935","1,351",,
Circleville,"14,025",47,1,13,13,20,609,81,493,35,3,
Clayton,"13,221",2,0,0,1,1,83,8,70,5,0,
Clearcreek Township,"16,070",2,0,1,0,1,37,11,26,0,0,
Cleveland,"381,829","5,791",92,479,"1,895","3,325","17,057","4,311","9,968","2,778",157,
